13,2017-08-21,機能追加,0,,1,<p>部品情報、日付をリセットする機能を追加しました。</p><p>トップメニューの(棟編集)>(部品リセット)からリセットできます。</p>,0,
12,2017-08-21,デザイン修正,0,,1,デザインを一部修正しました。,0,
11,2017-07-30,新ロゴに変更,0,,1,ロゴを更新しました。,0,
10,2017-07-30,下枠項目追加,0,,1,<p>下枠の材質を選択できるようにしました。</p><p>スチールとステンレスから選択できます。</p><p>ステンレスを選択するとエアータイトの有無と、下枠寸法を入力できます。</p>,0,
8,2017-05-20,デザイン更新、団地閲覧履歴追加,0,,1,<p>ホームページのデザインを更新しました。</p><p><br></p><p>トップメニューの「団地編集」に団地、棟の編集項目を格納しました。マウスカーソルを乗せれば項目が出現します。</p><p><br></p><p>トップメニューに団地閲覧履歴を追加しました。履歴が登録されるタイミングは、部品登録ボタンをクリックした時と、検索結果の団地名をクリックした時です。最大30件まで登録されます。</p><p>iphoneでトップメニューを表示したい場合は、左上横棒3本のアイコンをタップすれば閲覧履歴、編集機能などが表示されます。</p>,0,
7,2017-04-14,部品追加,0,,1,<p>集合ポストの項目に(<font color="#ff0000">ダイヤル錠の有無</font>)を選択できるようになりました。</p><p>トイレ(錠前)の項目に(<font color="#ff0000">HMW-8</font>)を追加しました。</p><p>木製ドア(錠前)の項目に(<font color="#ff0000">MIWA BS=57</font>)を追加しました。</p><p>内倒し金具の部品画像(<font color="#ff0000">YKK AP</font>)を追加しました。</p><p>中折れ金具の部品画像(<font color="#ff0000">トステム</font>)を追加しました。</p>,0,
6,2017-04-08,機能追加,0,,1,<p>団地が削除できるようになりました。</p><p>棟一覧ページ.団地名サイドの編集項目に追加しました。</p><p>団地コメント、棟コメント、部品情報データも全て削除されるので注意してください。</p>,0,
5,2017-04-07,システム修正,0,,1,<p>一部、棟番号が変更できない問題を修正しました。</p>,0,
4,2017-03-31,機能追加,0,,1,<p>団地が新規登録できるようになりました。</p><p>トップページのヘッダー左上にリンクを作成しました。</p><p>新規登録では一棟のみ登録できます。</p><p>棟を複数追加したい場合は、棟一覧ページの(棟追加)からお願いします。</p><p><br></p>,0,
3,2017-03-23,項目追加,0,,1,<p>小窓ベランダ側の項目を一か所追加しました。</p><p>浴室ドア～片側ドア、錠前{MIWA (BM-LS + BM-Y)BS=57 D=<font color="#ff0000">33</font>mm コンビ}</p><p>                  　　　　      {MIWA (BM-LS + BM-Y)BS=57 D=<font color="#ff0000">40</font>mm コンビ}二つ追加しました。</p><p>その他デザイン一部修正しました。</p>,0,
2,2017-02-28,部品項目追加、その他修正,0,,1,<p>下枠寸法の項目を部品編集下部に追加しました。</p><p>Ｓａｆａｒｉで表示する時、部品編集項目で下枠寸法画像が大きく表示される場合があります。アドレスバー横のリロードボタンを一度押してください。正常に表示されます。</p><p>その他バグ、デザイン一部修正しました。</p>,0,
1,2017-02-08,ログイン機能,0,,1,<p>一度ログインすれば、ログアウトを実行するまでログイン状態が保持されるように変更しました。</p><p>細かな箇所を修正しました。</p>,0,
